412389,412347,412337,4,F
164086,164159,164075,2,T
245487,245409,245478,2,T
777155,777180,777137,7,T
42512,42647,42541,1,T
804491,804433,804445,7,T
610347,610519,610313,5,T
848128,848055,848111,7,T
988880,988873,988895,8,F
100516,100516,100502,1,F
618867,619118,618860,5,T
438407,438518,438396,4,T
109372,109351,109349,1,F
919051,919003,919168,8,F
624758,625038,624739,5,T
236523,236448,236519,2,T
381601,381569,381764,4,F
842323,842211,842265,7,T
624921,625194,624893,5,T
195857,195938,195919,2,T
925233,925089,925267,8,T
869130,869113,869162,7,F
49001,49074,48962,1,T
119372,119359,119358,1,F
749709,749645,749695,6,T
724400,724407,724402,6,T
967654,967710,967690,8,T
911682,911627,911762,8,F
709036,709117,709070,6,T
180533,180582,180523,2,T
509429,509496,509497,5,F
646042,646200,645980,6,T
541087,541087,541054,5,F
582651,582751,582653,5,T
55836,55921,55809,1,T
202754,202760,202761,2,F
390709,390638,390718,4,T
329615,329493,329689,3,T
526128,526094,526075,5,F
35474,35629,35536,1,T
950147,950071,950183,8,T
242228,242159,242231,2,T
62861,62907,62810,1,F
98677,98737,98705,1,T
914818,914764,914914,8,F
819705,819648,819682,7,T
466326,466451,466320,4,T
904710,904657,904750,8,T
455504,455599,455459,4,T
629359,629635,629299,5,T
183112,183211,183158,2,T
813762,813693,813719,7,T
509010,509072,509074,5,F
153416,153520,153411,2,T
392914,392827,392880,4,T
490420,490452,490381,4,F
569670,569734,569665,5,T
654326,654509,654308,6,T
25882,25959,25896,1,T
462873,463024,462888,4,T
296169,295864,296120,3,T
252992,252837,252926,2,T
315835,315659,315887,3,T
712118,712173,712135,6,T
166107,166159,166077,2,T
778999,779036,778997,7,T
597026,597172,597028,5,T
121740,121716,121714,1,F
916800,916750,916908,8,F
136186,136301,136246,2,T
566941,566969,566905,5,F
883453,883404,883435,7,T
300619,300332,300583,3,T
618310,618552,618297,5,T
682286,682337,682211,6,F
610432,610604,610397,5,T
655649,655864,655666,6,T
120830,120851,120850,1,T
834309,834280,834330,7,T
929345,929186,929367,8,T
26028,26109,26045,1,T
640003,640218,639986,6,T
265557,265341,265605,3,T
574292,574440,574362,5,T
449644,449787,449649,4,T
413080,413074,413058,4,F
65227,65276,65182,1,T
748284,748227,748274,6,T
682360,682417,682291,6,F
589150,589336,589220,5,T
725124,725139,725136,6,T
477696,477859,477749,4,T
101399,101418,101405,1,T
959886,959855,959885,8,T
330709,330569,330764,3,T
62198,62284,62172,1,T
738022,737938,737966,6,T
922937,922819,922993,8,T
444669,444829,444695,4,T
459159,459300,459162,4,T
942169,941956,942112,8,T
297328,297026,297281,3,T
685414,685502,685385,6,T
706349,706461,706406,6,T
480382,480551,480448,4,T
130457,130523,130499,2,T
676822,676918,676776,6,T
812516,812458,812483,7,T
999110,999141,999134,8,T
825992,825933,825975,7,T
189085,189163,189125,2,T
209117,209077,209096,2,T
215700,215648,215685,2,T
764321,764336,764262,7,F
360658,360553,360662,3,T
541415,541419,541385,5,F
382520,382473,382657,4,F
163980,164055,163972,2,T
197931,198006,197993,2,T
153747,153844,153734,2,T
976718,976690,976704,8,T
66392,66461,66369,1,T
197946,198021,198008,2,T
814620,814537,814565,7,T
399699,399557,399645,4,T
755027,754905,754963,6,T
569675,569737,569668,5,T
151522,151613,151508,2,T
160255,160268,160184,2,F
444715,444871,444738,4,T
354810,354689,354816,3,T
826335,826280,826323,7,T
583226,583323,583225,5,T
983034,982970,982994,8,T
901973,901887,901960,8,T
637000,637272,637034,6,T
693396,693441,693348,6,F
947217,947055,947186,8,T
832928,832867,832916,7,T
483756,483883,483790,4,T
727260,727253,727255,6,T
750535,750489,750540,6,T
6996,6924,6979,1,T
198974,199028,199018,2,T
136048,136156,136102,2,T
39874,39993,39891,1,T
397858,397752,397751,4,F
873971,873897,873941,7,T
750913,750857,750909,6,T
78142,78221,78152,1,T
656432,656608,656411,6,T
456335,456463,456324,4,T
478797,478947,478840,4,T
4424,4324,4402,1,T
